%AAPL ADBE ADP AMD DELL GTW HP IBM MSFT ORCL
1.63111 1.617631 0.9041194 2.770079 1.554868 2.478849 0.9077438 1.388815 1.471007 1.740196
1.642396 1.666605 0.8683523 2.780734 1.538216 2.500957 0.8994384 1.37444 1.473535 1.751537
1.590781 1.65966 0.8645546 2.741087 1.457423 2.478621 0.9019806 1.387703 1.464517 1.72406
1.598995 1.718392 0.7860767 2.503206 1.401617 2.496502 0.8851067 1.245299 1.365993 1.688963
1.59296 1.72316 0.7849341 2.494964 1.389605 2.483707 0.8846888 1.251224 1.373874 1.684063
1.590759 1.727068 0.79135 2.495181 1.414838 2.480668 0.8843449 1.266587 1.390956 1.691783
1.617361 1.726325 0.7504942 2.494006 1.458868 2.574209 0.8541613 1.322829 1.388748 1.608144
1.691492 1.762725 0.6553291 2.497769 1.477123 2.625536 0.8668617 1.339734 1.352419 1.598189
1.70146 1.740669 0.7062246 2.494448 1.56057 2.612762 0.8099032 1.439738 1.439339 1.630864
1.715283 1.675118 0.5328022 2.432793 1.354459 2.428238 0.725137 1.30621 1.42812 1.587398
1.767671 1.69586 0.5546972 2.402633 1.419512 2.465409 0.7565431 1.340029 1.476289 1.598413
1.839997 1.71196 0.66349 2.342645 1.387657 2.424515 0.874616 1.308366 1.33193 1.643364
1.841128 1.707278 0.6687221 2.341837 1.384255 2.423794 0.8692343 1.311134 1.328891 1.64546
1.841033 1.684617 0.6584531 2.375013 1.39356 2.402865 0.8553725 1.261297 1.285512 1.621202
1.791817 1.805271 0.6917896 2.356447 1.311379 2.298546 0.8543943 1.270674 1.312301 1.653798
1.722191 1.95714 0.6964453 2.378345 1.321423 2.289018 0.8666022 1.351341 1.400825 1.632445
1.743122 2.026418 0.6895811 2.382364 1.492067 2.272672 0.9151195 1.524548 1.518578 1.598433
1.767753 1.870249 0.5045219 2.28566 1.319958 2.184804 0.8937499 1.371346 1.49697 1.666511
1.796161 1.901844 0.5004782 2.30392 1.407484 2.247471 0.8760624 1.378875 1.526177 1.69744
1.739197 1.91375 0.4910797 2.207346 1.457797 2.350602 0.8176007 1.57297 1.462484 1.725452
1.752175 1.994383 0.474315 2.193091 1.349178 2.37075 0.8158816 1.625471 1.438767 1.740514
1.532719 1.927995 0.5789818 2.004992 1.443885 2.422371 0.7312049 1.149676 1.265855 1.613516
1.539658 1.849509 0.4754524 2.093639 1.343217 2.371167 0.8019797 1.087048 1.129133 1.520828
1.534227 1.989548 0.8154125 1.901229 1.14114 2.122429 0.847834 0.9302879 0.6848392 1.499633
1.474393 1.951096 0.7244199 1.843982 1.011081 2.087699 0.8802691 0.8662384 0.6793626 1.469794
1.302423 1.253094 0.8799966 1.939233 0.6155808 2.085778 0.92958 1.250338 0.7362254 1.550212
1.303492 1.255575 0.8937084 1.941172 0.5802793 2.075596 0.9219214 1.214825 0.7238496 1.541276
1.312359 1.259435 0.8907012 1.947841 0.5836186 2.0792 0.9215441 1.238019 0.7181274 1.549942
1.308287 1.317133 0.8724355 1.955185 0.6727179 2.108573 0.9422081 1.212473 0.7499182 1.56134
1.335177 1.191128 0.788814 1.910882 0.8521571 2.131078 0.9131644 1.152118 0.7893804 1.527112
1.4166 1.206314 0.7808688 1.984857 0.9072444 2.161211 0.909856 1.240904 0.7835319 1.452948
1.123234 1.504627 0.3523156 2.012954 0.4213019 1.59275 0.918815 0.3758569 0.7086691 1.270292
1.154939 1.558042 0.3925014 2.02029 0.5361393 1.62217 0.983314 0.429218 0.7266547 1.213198
0.8770746 1.541094 0.5215397 2.095823 0.8554151 1.599138 1.109439 0.6713895 0.8373326 1.47502
0.885567 1.451772 0.3910713 2.180324 0.8783357 1.567741 1.302245 0.6968292 0.8602212 1.442903
0.8458539 1.542175 0.3695446 2.524102 1.434564 1.618939 1.004073 1.483843 1.147853 1.571416
1.005035 1.566195 0.3550677 2.387682 1.296343 1.577283 1.018835 1.518607 0.9849816 1.734077
0.4619658 1.419536 0.09466113 2.679682 1.671973 1.647831 0.6846325 1.335595 1.446351 1.390563
0.4667152 1.426394 0.08747791 2.67664 1.657261 1.653183 0.7113003 1.362542 1.458561 1.389802
0.2060655 1.070308 0.1771513 2.209973 1.581522 1.752767 0.4039724 1.298393 1.436897 1.2915
0.05455985 0.9136 0.3940533 2.080357 1.872767 1.718788 0.410269 1.569347 1.975117 1.222201
-0.0008298499 1.055263 0.5828547 1.841117 2.307759 1.865909 0.6977428 1.542198 1.765327 1.383358
-0.1933452 0.6893541 0.398229 1.661353 2.240746 1.769068 0.6881613 1.50198 1.675213 1.411854
0.2472975 0.724278 0.4678674 1.406297 2.842789 1.831187 0.9528149 1.690595 1.652479 1.356033
-0.2026912 0.5220118 0.7046207 1.129808 2.468288 1.577812 0.6866213 1.462784 1.545227 1.07061
-0.2084037 0.8103877 0.849734 0.9092779 2.551814 1.257445 0.8188192 1.40354 1.409551 0.9368013
0.1312094 0.8480918 0.7067937 1.272908 2.697676 1.296688 0.7609486 1.452301 1.338988 0.9173167
0.1587087 0.6651008 0.8519614 1.178483 2.627107 1.239696 0.6438033 1.54836 1.385639 0.7956903
0.1016822 0.6588726 0.8864536 1.143559 2.620456 1.257511 0.6139762 1.524041 1.353649 0.7147184
0.1063557 0.6576121 0.8850312 1.145029 2.623634 1.259133 0.6084188 1.521871 1.356897 0.7152184
0.5477823 0.8396268 0.7008981 1.264873 3.073127 1.374721 0.8086184 1.36964 1.471175 0.7225167
0.6983932 0.8115994 0.926804 1.430331 2.79788 1.371962 0.867968 1.194424 1.445794 1.005295
0.6986271 0.8099649 0.9278699 1.431063 2.794237 1.368995 0.8686809 1.191012 1.445835 1.008798
0.7146974 1.042398 1.018803 1.700823 2.668596 1.570259 1.089267 1.102629 1.494765 1.084035
0.7592663 1.066685 1.297436 1.528852 2.714499 1.613223 0.8728298 0.9533086 1.834052 1.079852
