%AAPL ADBE ADP AMD DELL GTW HP IBM MSFT ORCL
1.63111 1.617631 0.9041194 2.770079 1.554868 2.478849 0.9077438 1.388815 1.471007 1.740196
1.409731 1.477241 0.7673872 1.933132 1.850384 2.188191 0.8176559 1.267934 1.568576 1.580818
1.422954 1.498268 0.8055769 1.945029 1.806069 2.222348 0.8206277 1.233878 1.568597 1.503648
1.422624 1.496731 0.8056469 1.945798 1.806572 2.222534 0.8214104 1.234432 1.568739 1.503236
1.342109 1.428909 0.7984442 2.094261 1.758673 2.169341 0.8040478 1.294937 1.531298 1.515171
1.33929 1.462422 0.8456263 2.083515 1.777141 2.111194 0.8232664 1.363642 1.557653 1.562574
1.314238 1.49522 0.8397409 2.145404 1.754817 2.139796 0.8052658 1.368997 1.555549 1.583377
1.313328 1.517298 0.8526741 2.198971 1.742848 2.155593 0.7858728 1.376838 1.558731 1.588287
1.308243 1.503719 0.8655092 2.217467 1.750964 2.170662 0.797174 1.370717 1.56389 1.568795
1.302666 1.49822 0.8696135 2.210308 1.738356 2.182461 0.7880397 1.368833 1.561428 1.566964
1.300831 1.500912 0.8681175 2.212976 1.738357 2.184118 0.7860285 1.368717 1.561664 1.5641
1.271125 1.500015 0.8744388 2.217891 1.715076 2.193959 0.7680076 1.360423 1.541096 1.555024
1.304369 1.490198 0.8731585 2.192737 1.714214 2.20207 0.7964776 1.354847 1.519047 1.557902
1.306125 1.485842 0.8717392 2.186926 1.714091 2.204633 0.7939516 1.351759 1.519997 1.554159
1.31083 1.485686 0.8762268 2.192606 1.71584 2.222402 0.788061 1.349621 1.52037 1.552651
1.31393 1.495133 0.8799682 2.218482 1.711883 2.227866 0.7931106 1.348851 1.518942 1.555321
1.317949 1.493263 0.8852555 2.217763 1.709289 2.227318 0.7989341 1.343728 1.515212 1.561611
1.324039 1.498712 0.8860358 2.258824 1.705987 2.178733 0.7928888 1.331581 1.486848 1.557332
1.32191 1.497271 0.8861761 2.262116 1.704885 2.175827 0.7907875 1.331681 1.486286 1.557205
1.313858 1.472729 0.8852128 2.20541 1.685724 2.161553 0.8113536 1.323656 1.484369 1.560977
1.315813 1.470013 0.8889629 2.203043 1.68303 2.160979 0.812836 1.3265 1.483474 1.562254
1.317593 1.468152 0.8882249 2.202415 1.681251 2.165766 0.8135118 1.324776 1.481059 1.558454
1.307036 1.462399 0.8877188 2.193869 1.677008 2.165051 0.8152214 1.326746 1.483766 1.561608
1.308901 1.45643 0.8834605 2.200791 1.672274 2.168954 0.8186678 1.328068 1.478321 1.56437
1.311683 1.458666 0.8835791 2.203401 1.672049 2.161049 0.8152339 1.327728 1.477808 1.564193
1.319354 1.459669 0.879185 2.20254 1.671325 2.165307 0.8172046 1.326022 1.481479 1.56535
1.313338 1.466326 0.874324 2.226415 1.663901 2.153695 0.817875 1.320879 1.474073 1.575799
1.313201 1.466147 0.8744481 2.226613 1.663944 2.153753 0.817826 1.32094 1.474165 1.575919
1.315757 1.467687 0.8752538 2.229331 1.664143 2.156272 0.8201524 1.320967 1.474183 1.578606
1.327581 1.472086 0.8767646 2.238929 1.662637 2.162135 0.8194451 1.322147 1.473879 1.582574
1.35391 1.475293 0.8786937 2.259615 1.673877 2.172081 0.833403 1.322406 1.475452 1.57574
1.344975 1.474233 0.8731165 2.256062 1.672635 2.151499 0.8350052 1.322858 1.470213 1.578587
1.319917 1.481027 0.8728827 2.287596 1.668314 2.172547 0.8199625 1.32502 1.467513 1.573107
1.326996 1.484085 0.8713136 2.290987 1.664597 2.170314 0.8221817 1.323381 1.463961 1.568349
1.331434 1.473063 0.8651134 2.293688 1.665258 2.18042 0.8216294 1.322031 1.464862 1.568703
1.342959 1.481921 0.86682 2.300777 1.671303 2.192013 0.8232148 1.337037 1.45709 1.572852
1.348541 1.488121 0.865134 2.308336 1.679781 2.187946 0.8280925 1.33276 1.455417 1.578312
1.350236 1.491364 0.8660371 2.306899 1.679955 2.188857 0.8253123 1.33312 1.456207 1.577537
1.36168 1.489755 0.8688634 2.315143 1.676592 2.202063 0.8440387 1.341285 1.454171 1.574776
1.353922 1.494703 0.870871 2.310414 1.683819 2.218377 0.8406534 1.342306 1.448027 1.576301
1.3541 1.494831 0.8708759 2.310674 1.683753 2.218201 0.8406664 1.34229 1.44793 1.576226
1.344636 1.484479 0.8617075 2.313669 1.687143 2.208345 0.8476282 1.33777 1.445245 1.570969
1.357078 1.480668 0.8592647 2.318846 1.6758 2.208051 0.8494264 1.342018 1.448408 1.5651
1.35507 1.476466 0.8599086 2.313424 1.6758 2.213873 0.8473403 1.344421 1.45008 1.56593
1.356238 1.479008 0.8555744 2.330647 1.672006 2.216123 0.8612169 1.341684 1.452723 1.565558
1.35917 1.479832 0.8540846 2.332729 1.672181 2.220209 0.8666242 1.341941 1.45395 1.565802
1.358259 1.478827 0.8539238 2.331198 1.672302 2.219401 0.8670713 1.342083 1.453953 1.566576
1.359532 1.480088 0.8533334 2.330685 1.670536 2.219258 0.8674371 1.341899 1.4523 1.567196
1.377631 1.520627 0.8446384 2.324673 1.666421 2.244714 0.8787996 1.339018 1.45394 1.562784
1.378995 1.518435 0.8446384 2.332395 1.667492 2.240879 0.8818629 1.340273 1.452822 1.561958
1.376172 1.519539 0.8453348 2.336262 1.669558 2.243764 0.8833819 1.340204 1.452333 1.561453
1.374988 1.524014 0.8478028 2.345786 1.670021 2.251993 0.8772933 1.341252 1.454232 1.562222
1.38049 1.530395 0.8469439 2.342923 1.668789 2.246301 0.8724157 1.340255 1.456002 1.567475
1.381525 1.528629 0.8482279 2.325289 1.670241 2.231928 0.8732883 1.346883 1.456641 1.567234
1.384219 1.529376 0.847188 2.324992 1.672632 2.234481 0.8756353 1.346366 1.456803 1.567512
1.383104 1.529491 0.8473547 2.324074 1.671445 2.234968 0.8744755 1.346875 1.45684 1.566043
